2019-06-16 16:13:25 - PHP Notice:  Undefined variable: status in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 432
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant name - assumed 'name' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 432
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: status in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 432
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant order_status_id - assumed 'order_status_id' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 446
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: status in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 446
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant name - assumed 'name' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 446
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: status in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 446
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant order_status_id - assumed 'order_status_id' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 448
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: status in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 448
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant name - assumed 'name' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 448
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: status in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 448
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant id - assumed 'id' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 474
2019-06-16 16:13:25 - PHP Unknown:  Object of class stdClass could not be converted to string in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 474
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant nickname - assumed 'nickname' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 475
2019-06-16 16:13:25 - PHP Unknown:  Object of class stdClass could not be converted to string in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 475
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant permalink - assumed 'permalink' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 476
2019-06-16 16:13:25 - PHP Unknown:  Object of class stdClass could not be converted to string in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 476
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant permalink - assumed 'permalink' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 476
2019-06-16 16:13:25 - PHP Unknown:  Object of class stdClass could not be converted to string in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 476
